,distance,pi,fitted,BGS
0,30.0,0.7691041008304393,0.7842733391425927,0.8768505869686747
1,60.0,0.7925641655015322,0.8059749250666436,0.9050375181072289
2,90.0,0.8077691581807968,0.8186154885882752,0.9203025142325302
3,120.0,0.8174849246925434,0.8224644566478448,0.9228801210843373
4,150.0,0.8251326542911134,0.8239866607389111,0.9221606599783132
5,180.0,0.8327686880827374,0.8287941111137824,0.926144206126506
6,210.0,0.8385911116945862,0.8340543645218668,0.9307655846759038
7,240.0,0.8413583146721144,0.8385946920342734,0.9343720996048194
8,270.0,0.8413422879162411,0.8383507704622439,0.9313266909542168
9,300.0,0.850668634856997,0.8394352439836289,0.9302084707783133
10,330.0,0.8518821041859038,0.8478640360712983,0.9392208731602409
11,360.0,0.8508905585638407,0.8482946856892781,0.9372587203265059
12,390.0,0.8566762477650662,0.8485374370787231,0.9351183806759036
13,420.0,0.8559115000572013,0.8496651044162262,0.9342425497518071
14,450.0,0.8587264011705823,0.8531954217426376,0.9366289337746988
15,480.0,0.8611844441235955,0.8534233979686032,0.9346478550855423
16,510.0,0.8588715279029622,0.8579581549707055,0.9384124531771084
17,540.0,0.8758662437129724,0.8590140058809352,0.9376120197072288
18,570.0,0.8635312951859039,0.8606999328649669,0.9376836390373495
19,600.0,0.8574020835229826,0.864948799519736,0.9411186083903615
20,630.0,0.8652887804412666,0.86749626186281,0.9423605962951808
21,660.0,0.8702540722104188,0.8683988400936913,0.9415155664337349
22,690.0,0.8725694184361593,0.8721829710374065,0.9443983925698796
23,720.0,0.8690652993534219,0.8746783308564241,0.9456510471987952
24,750.0,0.8634405570949949,0.872274876731351,0.9407351680481928
25,780.0,0.8690784273483145,0.8768856661189531,0.9447235784566264
26,810.0,0.8719146941562819,0.8748309911952635,0.9403719624108434
27,840.0,0.8707528049683351,0.8830225234811145,0.9488532458240965
28,870.0,0.8778386241041879,0.883299987730907,0.9474760088060241
29,900.0,0.8851553860796731,0.8859973819620024,0.9491346170445784
30,930.0,0.8768145546435139,0.887274863670193,0.9490646415903615
31,960.0,0.8784151649540347,0.885489787779769,0.9452816777
32,990.0,0.8821670742921347,0.8906565945257414,0.950029779153012
33,1020.0,0.8963150853319712,0.8971494773287902,0.9563885946662651
34,1050.0,0.9003404095321756,0.8879584716164448,0.9437620491975903
35,1080.0,0.9096385407487232,0.8936980508009029,0.9492306585518072
36,1110.0,0.895316651308478,0.8884695435839801,0.9415607171843374
37,1140.0,0.8903719082533197,0.8934112639381696,0.9460945695204819
38,1170.0,0.8862992642420839,0.9029588138243899,0.9561089769518071
39,1200.0,0.8968171518416752,0.8945408652088993,0.9447943267879518
40,1230.0,0.9029388047599591,0.8988054160748431,0.9485501219951807
41,1260.0,0.8952658351205312,0.8970464975218851,0.9452326656710842
42,1290.0,0.9020315313973442,0.8980752538114264,0.945225378466265
43,1320.0,0.9070233219622064,0.9007499529144983,0.9471609099084337
44,1350.0,0.936139408483146,0.9143032617878533,0.9617798783469879
45,1380.0,0.8887604650194075,0.8934765274688292,0.9364673682144579
46,1410.0,0.8957065140888663,0.9207382269701659,0.9668992575590362
47,1440.0,0.9183811489376915,0.9066611131507382,0.9495046617686747
48,1470.0,0.9238529304453523,0.9028245077093373,0.9440440824204819
49,1500.0,0.8854973542686416,0.9128098121040518,0.9544456909566265
50,1530.0,0.9325442357783452,0.9277949099227275,0.9705666676421688
51,1560.0,0.9294713262104188,0.9171734400270185,0.957384750226506
52,1590.0,0.9368882798232889,0.9100907745942239,0.9483575667506023
53,1620.0,0.9277653085750767,0.9275646739777281,0.9672155944337351
54,1650.0,0.914609778518897,0.9181612710971385,0.955607673020482
55,1680.0,0.8924793708457609,0.9177604949519415,0.9542397180710843
56,1710.0,0.898107995988764,0.9118369512547037,0.9467040902060241
57,1740.0,0.9536128213564861,0.915228423481112,0.9496470844626506
58,1770.0,0.9461012690040858,0.918699305018346,0.952683757507229
59,1800.0,0.9188619088641471,0.9228580321093506,0.9564918515578313
60,1830.0,0.9388465827620021,0.8862667343806977,0.9151678122638554
61,1860.0,0.9018611680040858,0.9255288376086868,0.9578432556578313
62,1890.0,0.904046835832482,0.9247749673429357,0.9562267069506024
63,1920.0,0.9092750533544433,0.9296079182343786,0.9608059675795181
64,1950.0,0.9427137052941776,0.922536683535025,0.9522616848795182
65,1980.0,0.8693955962267621,0.9028608516114988,0.9299791369722891
66,2010.0,0.9150593473319714,0.9277127449826211,0.9565245263963855
67,2040.0,0.9315188109131767,0.9318171988326703,0.9603275970614458
68,2070.0,0.9259269086057201,0.9376023830685212,0.9659718212518072
69,2100.0,0.9597774443575076,0.9382487741633498,0.9659974631963855
70,2130.0,0.9602014445842696,0.9699535743562626,1.0
71,2160.0,0.9917903565342185,0.9333158954483294,0.9593215827048192
72,2190.0,0.9052146553033709,0.9514960931253797,0.978452836220482
73,2220.0,0.9062473030255362,0.8970783193227618,0.9189913899277108
74,2250.0,0.9603944493411644,0.9145091088339792,0.9372175997265059
75,2280.0,0.9425203831164453,0.9339914168860891,0.957658971653012
76,2310.0,0.9388128638743616,0.9066537025391468,0.9277273787879518
77,2340.0,0.9119275193013279,0.9564319348341748,0.9807128641614458
78,2370.0,0.9352043865025537,0.9312486492123861,0.9530716056144579
79,2400.0,0.9697058834657812,0.9175248498463899,0.9378753124385542
80,2430.0,0.9471941164964248,0.9394001445351055,0.9607712113686747
81,2460.0,0.9015135339325844,0.9639340589937668,0.9865323163457832
82,2490.0,0.8586105313023494,0.930383671318394,0.9501592522421686
